Feature,Feature Value,SHAP Value,Absolute Value,Category
imeisv,8642840500000000.0,-241625028838059.5,241625028838059.5,other
dl_bitrate_11,5670591.0,-82840.10147725296,82840.10147725296,dl_bitrate
dl_bitrate_30,5590756.0,56591.73175224519,56591.73175224519,dl_bitrate
dl_bitrate_43,5539553.0,49136.18665195019,49136.18665195019,dl_bitrate
dl_bitrate_107,5412697.0,43365.13646123604,43365.13646123604,dl_bitrate
dl_bitrate_88,5436896.0,37739.58474455106,37739.58474455106,dl_bitrate
dl_bitrate_63,5640564.0,33654.654518275915,33654.654518275915,dl_bitrate
dl_total_bytes_non_incr_36,2637147.0,33312.64693607515,33312.64693607515,dl_total_bytes_non_incr
dl_total_bytes_non_incr_101,3321230.0,24203.25912780475,24203.25912780475,dl_total_bytes_non_incr
dl_bitrate_85,2570835.0,18512.34375,18512.34375,dl_bitrate
indice,6985.0,0.0,0.0,other
dl_bitrate_1,2240270.0,0.0,0.0,dl_bitrate
ul_bitrate_1,848779.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_1,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_1,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_1,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_1,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_1,498932.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_1,1346272.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_2,3139450.0,0.0,0.0,dl_bitrate
ul_bitrate_2,791309.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_2,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_2,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_2,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_2,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_2,450624.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_2,1828842.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_3,2899059.0,0.0,0.0,dl_bitrate
ul_bitrate_3,142004.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_3,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_3,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_3,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_3,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_3,72393.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_3,2000080.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_4,2253676.0,0.0,0.0,dl_bitrate
ul_bitrate_4,137910.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_4,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_4,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_4,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_4,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_4,67738.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_4,1383336.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_5,5584788.0,0.0,0.0,dl_bitrate
ul_bitrate_5,715834.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_5,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_5,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_5,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_5,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_5,411054.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_5,3478814.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_6,2114525.0,0.0,0.0,dl_bitrate
ul_bitrate_6,893724.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_6,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_6,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_6,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_6,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_6,515573.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_6,1346045.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_7,1929770.0,0.0,0.0,dl_bitrate
ul_bitrate_7,797408.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_7,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_7,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_7,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_7,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_7,472852.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_7,1159125.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_8,1898534.0,0.0,0.0,dl_bitrate
ul_bitrate_8,749404.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_8,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_8,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_8,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_8,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_8,446530.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_8,1191154.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_9,3821719.0,0.0,0.0,dl_bitrate
ul_bitrate_9,297434.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_9,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_9,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_9,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_9,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_9,164748.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_9,2401062.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_10,2255598.0,0.0,0.0,dl_bitrate
ul_bitrate_10,137295.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_10,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_10,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_10,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_10,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_10,67733.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_10,1413664.0,0.0,0.0,dl_total_bytes_non_incr
ul_bitrate_11,487232.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_11,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_11,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_11,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_11,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_11,269027.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_11,3531626.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_12,2502562.0,0.0,0.0,dl_bitrate
ul_bitrate_12,1088132.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_12,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_12,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_12,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_12,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_12,605857.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_12,1555406.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_13,2271104.0,0.0,0.0,dl_bitrate
ul_bitrate_13,867563.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_13,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_13,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_13,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_13,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_13,503454.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_13,1387270.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_14,1883178.0,0.0,0.0,dl_bitrate
ul_bitrate_14,769939.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_14,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_14,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_14,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_14,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_14,449280.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_14,1212120.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_15,3667609.0,0.0,0.0,dl_bitrate
ul_bitrate_15,345821.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_15,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_15,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_15,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_15,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_15,203176.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_15,2276295.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_16,2231440.0,0.0,0.0,dl_bitrate
ul_bitrate_16,139669.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_16,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_16,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_16,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_16,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_16,68072.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_16,1403363.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_17,5613304.0,0.0,0.0,dl_bitrate
ul_bitrate_17,343799.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_17,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_17,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_17,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_17,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_17,176599.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_17,3535790.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_18,2106534.0,0.0,0.0,dl_bitrate
ul_bitrate_18,836990.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_18,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_18,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_18,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_18,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_18,494933.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_18,1301088.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_19,1872009.0,0.0,0.0,dl_bitrate
ul_bitrate_19,758767.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_19,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_19,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_19,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_19,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_19,443152.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_19,1156956.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_20,1879075.0,0.0,0.0,dl_bitrate
ul_bitrate_20,809713.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_20,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_20,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_20,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_20,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_20,484616.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_20,1159141.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_21,2841741.0,0.0,0.0,dl_bitrate
ul_bitrate_21,675750.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_21,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_21,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_21,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_21,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_21,404584.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_21,1638669.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_22,3167251.0,0.0,0.0,dl_bitrate
ul_bitrate_22,139964.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_22,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_22,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_22,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_22,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_22,68885.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_22,2104708.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_23,2273317.0,0.0,0.0,dl_bitrate
ul_bitrate_23,141161.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_23,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_23,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_23,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_23,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_23,68567.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_23,1394341.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_24,5310609.0,0.0,0.0,dl_bitrate
ul_bitrate_24,668685.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_24,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_24,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_24,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_24,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_24,387616.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_24,3358054.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_25,1875414.0,0.0,0.0,dl_bitrate
ul_bitrate_25,774290.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_25,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_25,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_25,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_25,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_25,450232.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_25,1158612.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_26,1878605.0,0.0,0.0,dl_bitrate
ul_bitrate_26,743551.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_26,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_26,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_26,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_26,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_26,445268.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_26,1155796.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_27,1873788.0,0.0,0.0,dl_bitrate
ul_bitrate_27,738713.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_27,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_27,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_27,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_27,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_27,439216.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_27,1156428.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_28,3651528.0,0.0,0.0,dl_bitrate
ul_bitrate_28,444867.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_28,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_28,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_28,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_28,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_28,261163.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_28,2255181.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_29,2250779.0,0.0,0.0,dl_bitrate
ul_bitrate_29,140372.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_29,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_29,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_29,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_29,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_29,68964.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_29,1415084.0,0.0,0.0,dl_total_bytes_non_incr
ul_bitrate_30,234964.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_30,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_30,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_30,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_30,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_30,120588.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_30,3531715.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_31,2101581.0,0.0,0.0,dl_bitrate
ul_bitrate_31,814922.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_31,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_31,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_31,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_31,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_31,477777.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_31,1299332.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_32,2106247.0,0.0,0.0,dl_bitrate
ul_bitrate_32,875502.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_32,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_32,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_32,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_32,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_32,500469.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_32,1302104.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_33,2330000.0,0.0,0.0,dl_bitrate
ul_bitrate_33,916776.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_33,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_33,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_33,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_33,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_33,519582.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_33,1358339.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_34,3829332.0,0.0,0.0,dl_bitrate
ul_bitrate_34,714056.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_34,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_34,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_34,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_34,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_34,406821.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_34,2474490.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_35,2249430.0,0.0,0.0,dl_bitrate
ul_bitrate_35,138311.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_35,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_35,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_35,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_35,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_35,67478.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_35,1384140.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_36,4400912.0,0.0,0.0,dl_bitrate
ul_bitrate_36,157871.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_36,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_36,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_36,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_36,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_36,77499.0,0.0,0.0,ul_total_bytes_non_incr
dl_bitrate_37,3148006.0,0.0,0.0,dl_bitrate
ul_bitrate_37,729437.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_37,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_37,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_37,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_37,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_37,425110.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_37,2105888.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_38,1959105.0,0.0,0.0,dl_bitrate
ul_bitrate_38,769797.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_38,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_38,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_38,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_38,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_38,461910.0,0.0,0.0,ul_total_bytes_non_incr
dl_total_bytes_non_incr_38,1193219.0,0.0,0.0,dl_total_bytes_non_incr
dl_bitrate_39,2023438.0,0.0,0.0,dl_bitrate
ul_bitrate_39,748977.0,0.0,0.0,ul_bitrate
cell_x_dl_retx_39,-1.0,0.0,0.0,cell_x_dl_retx
cell_x_dl_tx_39,-1.0,0.0,0.0,cell_x_dl_tx
cell_x_ul_retx_39,-1.0,0.0,0.0,cell_x_ul_retx
cell_x_ul_tx_39,-1.0,0.0,0.0,cell_x_ul_tx
ul_total_bytes_non_incr_39,443259.0,0.0,0.0,ul_total_bytes_non_incr
